headline,link,image,category
CM Bhagwant Mann dances at passing out parade of constables in Punjab's Jalandhar,https://timesofindia.indiatimes.com/videos/toi-original/cm-bhagwant-mann-dances-at-passing-out-parade-of-constables-in-punjabs-jalandhar/videoshow/103913859.cms,https://static.toiimg.com/photo/msid-25581306/25581306.jpg,india
CM Bhagwant Mann dances at passing out parade of constables in Punjab's Jalandhar,https://timesofindia.indiatimes.com/videos/toi-original/cm-bhagwant-mann-dances-at-passing-out-parade-of-constables-in-punjabs-jalandhar/videoshow/103913859.cms,https://static.toiimg.com/photo/msid-25581306/25581306.jpg,india
"India beat Australia by 99 runs, take 2-0 unassailable lead",https://timesofindia.indiatimes.com/videos/toi-original/india-beat-australia-by-99-runs-take-2-0-unassailable-lead/videoshow/103913069.cms,https://static.toiimg.com/photo/msid-25581306/25581306.jpg,india
"Danish Ali denies BJP MP's allegations, claims narrative being set for his 'lynching'",https://timesofindia.indiatimes.com/videos/toi-original/danish-ali-denies-bjp-mps-allegations-claims-narrative-being-set-for-his-lynching/videoshow/103912271.cms,https://static.toiimg.com/photo/msid-25581306/25581306.jpg,india
Viral video: Major brawl at a Delhi store over delay in iPhone15 supply,https://timesofindia.indiatimes.com/videos/viral-videos/viral-video-major-brawl-at-a-delhi-store-over-delay-in-iphone15-supply/videoshow/103910809.cms,https://static.toiimg.com/photo/msid-25581306/25581306.jpg,india
Building in Uttarakhand's Nainital collapses sparking panic as it falls like a pack of cards,https://timesofindia.indiatimes.com/videos/toi-original/building-in-uttarakhands-nainital-collapses-sparking-panic-as-it-falls-like-a-pack-of-cards/videoshow/103909981.cms,https://static.toiimg.com/photo/msid-25581306/25581306.jpg,india
Mann Ki Baat: Why did PM Modi mention German singer Cassandra Mae Spittmann in the 105th episode?,https://timesofindia.indiatimes.com/videos/toi-original/mann-ki-baat-why-did-pm-modi-mention-german-singer-cassandra-mae-spittmann-in-the-105th-episode/videoshow/103911457.cms,https://static.toiimg.com/photo/msid-25581306/25581306.jpg,india
'You seem to be alone': Canada PM Justin Trudeau faces cold reality as he takes on India,https://timesofindia.indiatimes.com/india/you-seem-to-be-alone-canada-pm-justin-trudeau-faces-cold-reality-as-he-takes-on-india/articleshow/103928034.cms,"https://static.toiimg.com/thumb/imgsize-29736,msid-103929463,width-600,resizemode-4/103929463.jpg",india
Cauvery issue: Deve Gowda urges Modi to set up external agency to study reservoirs in Cauvery basin,https://timesofindia.indiatimes.com/india/cauvery-issue-deve-gowda-urges-modi-to-set-up-external-agency-to-study-reservoirs-in-cauvery-basin/articleshow/103929026.cms,"https://static.toiimg.com/thumb/imgsize-36716,msid-103929435,width-600,resizemode-4/103929435.jpg",india
Spain proud to see C-295 transport aircraft in India: Ambassador Jose Maria Ridao,https://timesofindia.indiatimes.com/india/spain-proud-to-see-c-295-transport-aircraft-in-india-ambassador-jose-maria-ridao/articleshow/103927621.cms,"https://static.toiimg.com/thumb/imgsize-22480,msid-103928816,width-600,resizemode-4/103928816.jpg",india
Indian-American democrat leader racially targeted in US,https://timesofindia.indiatimes.com/india/indian-american-democrat-leader-racially-targeted-in-us/articleshow/103928266.cms,"https://static.toiimg.com/thumb/imgsize-135160,msid-103928161,width-600,resizemode-4/103928161.jpg",india
"BJP unwilling to implement Women's Reservation bill, wants to use it as poll gimmick: Congress",https://timesofindia.indiatimes.com/india/bjp-unwilling-to-implement-womens-reservation-bill-wants-to-use-it-as-poll-gimmick-congress/articleshow/103928075.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-78553754,width-600,resizemode-4/78553754.jpg",india
"Madhya Pradesh: 'Congress has been busy glorifying one family, nourishing corrupt system…'says  PM Modi",https://timesofindia.indiatimes.com/india/madhya-pradesh-assembly-elections-congress-has-been-busy-glorifying-one-family-nourishing-corrupt-system-pm-modi/articleshow/103927747.cms,"https://static.toiimg.com/thumb/imgsize-19036,msid-103927741,width-600,resizemode-4/103927741.jpg",india
Canada's defence minister Bill Blair describes relationship with India 'important'; says his country will continue to pursue partnerships like Indo-Pacific strategy,https://timesofindia.indiatimes.com/india/canadas-defence-minister-describes-relationship-with-india-important-says-his-country-will-continue-to-pursue-partnerships-like-indo-pacific-strategy/articleshow/103914278.cms,"https://static.toiimg.com/thumb/imgsize-72364,msid-103914278,width-600,resizemode-4/103914278.jpg",india
